Session_ID,Location_Zone,Time_of_Day,Product_Category,Cart_Status,Cart_Value_INR,Session_Duration_Sec,Delivery_Time_Min,Waste_Risk_Level,Cross_Sell_Accepted
SID100000,Bandra,10 PM–2 AM,Staples & Grains,Completed,337,71,11,Medium,No
SID100001,Thane,6–9 AM,Personal Care,Abandoned,151,239,11,Low,No
SID100002,Andheri,9 AM–12,Fresh Produce,Abandoned,237,76,12,High,No
SID100003,Andheri,12–3 PM,Fresh Produce,Abandoned,267,125,9,High,No
SID100004,Andheri,3–6 PM,Dairy,Completed,270,114,8,High,No
SID100005,Andheri,6–10 PM,Fresh Produce,Completed,310,143,7,High,No
SID100006,Andheri,10 PM–2 AM,Snacks & Beverages,Abandoned,245,137,17,Low,No
SID100007,Andheri,10 PM–2 AM,Staples & Grains,Abandoned,224,247,10,Low,No
SID100008,Andheri,9 AM–12,Snacks & Beverages,Abandoned,85,148,12,Low,No
SID100009,Bandra,12–3 PM,Dairy,Abandoned,199,169,9,Medium,No
SID100010,Andheri,10 PM–2 AM,Staples & Grains,Abandoned,233,220,12,Low,No
SID100011,Andheri,12–3 PM,Snacks & Beverages,Abandoned,199,227,12,Low,No
SID100012,Bandra,6–9 AM,Fresh Produce,Abandoned,126,247,12,Medium,No
SID100013,Powai,9 AM–12,Staples & Grains,Completed,340,120,14,Low,No
SID100014,Thane,3–6 PM,Dairy,Completed,307,96,6,High,Yes
SID100015,Powai,10 PM–2 AM,Snacks & Beverages,Completed,430,146,9,Low,No
SID100016,Andheri,6–9 AM,Fresh Produce,Abandoned,249,216,11,High,No
SID100017,Andheri,10 PM–2 AM,Dairy,Completed,255,121,9,High,No
SID100018,Andheri,3–6 PM,Staples & Grains,Abandoned,200,74,9,Low,No
SID100019,Bandra,10 PM–2 AM,Fresh Produce,Abandoned,293,180,10,Medium,No
SID100020,Bandra,10 PM–2 AM,Personal Care,Completed,178,109,7,Medium,No
SID100021,Andheri,6–10 PM,Dairy,Abandoned,168,149,11,High,No
SID100022,Andheri,3–6 PM,Personal Care,Abandoned,111,228,8,Low,No
SID100023,Thane,12–3 PM,Dairy,Abandoned,215,228,15,High,No
SID100024,Andheri,10 PM–2 AM,Fresh Produce,Completed,381,169,10,High,No
SID100025,Andheri,6–10 PM,Snacks & Beverages,Completed,238,97,14,Low,No
SID100026,Dadar,9 AM–12,Fresh Produce,Completed,356,97,13,Medium,No
SID100027,Powai,3–6 PM,Snacks & Beverages,Completed,332,128,12,Low,No
SID100028,Bandra,12–3 PM,Staples & Grains,Abandoned,253,221,11,Medium,No
SID100029,Andheri,9 AM–12,Staples & Grains,Completed,461,139,11,Low,No
SID100030,Thane,9 AM–12,Staples & Grains,Completed,221,83,12,Low,No
SID100031,Dadar,6–10 PM,Dairy,Completed,292,154,8,Medium,No
SID100032,Bandra,12–3 PM,Personal Care,Completed,292,140,13,Medium,No
SID100033,Powai,6–10 PM,Fresh Produce,Completed,362,128,8,Low,No
SID100034,Bandra,6–9 AM,Staples & Grains,Abandoned,224,188,9,Medium,No
SID100035,Bandra,10 PM–2 AM,Fresh Produce,Abandoned,192,228,7,Medium,No
SID100036,Dadar,6–10 PM,Dairy,Abandoned,131,204,13,Medium,No
SID100037,Thane,6–10 PM,Staples & Grains,Abandoned,97,196,8,Low,No
SID100038,Thane,10 PM–2 AM,Frozen Foods,Abandoned,232,195,14,Low,No
SID100039,Thane,6–10 PM,Staples & Grains,Abandoned,161,194,12,Low,No
SID100040,Bandra,6–9 AM,Dairy,Abandoned,147,192,6,Medium,No
SID100041,Powai,6–9 AM,Snacks & Beverages,Completed,274,122,13,Low,Yes
SID100042,Andheri,3–6 PM,Staples & Grains,Abandoned,103,218,16,Low,No
SID100043,Thane,6–10 PM,Personal Care,Abandoned,58,276,10,Low,No
SID100044,Thane,12–3 PM,Fresh Produce,Abandoned,279,159,9,High,No
SID100045,Bandra,3–6 PM,Staples & Grains,Completed,211,98,12,Medium,No
SID100046,Dadar,6–10 PM,Dairy,Completed,459,63,8,Medium,No
SID100047,Thane,6–9 AM,Snacks & Beverages,Abandoned,206,136,12,Low,No
SID100048,Powai,6–9 AM,Fresh Produce,Completed,303,64,5,Low,No
SID100049,Thane,6–10 PM,Snacks & Beverages,Abandoned,266,135,6,Low,No
SID100050,Powai,10 PM–2 AM,Staples & Grains,Abandoned,183,184,12,Low,No
SID100051,Powai,12–3 PM,Staples & Grains,Completed,482,114,5,Low,No
SID100052,Dadar,12–3 PM,Personal Care,Completed,328,92,12,Medium,No
SID100053,Andheri,10 PM–2 AM,Fresh Produce,Abandoned,201,173,8,High,No
SID100054,Thane,10 PM–2 AM,Staples & Grains,Completed,382,87,11,Low,No
SID100055,Thane,10 PM–2 AM,Fresh Produce,Completed,414,85,9,High,No
SID100056,Bandra,10 PM–2 AM,Frozen Foods,Completed,276,164,9,Medium,No
SID100057,Dadar,3–6 PM,Staples & Grains,Abandoned,220,205,9,Medium,No
SID100058,Bandra,6–9 AM,Frozen Foods,Abandoned,143,181,15,Medium,No
SID100059,Bandra,12–3 PM,Fresh Produce,Abandoned,249,241,12,Medium,No
SID100060,Thane,6–10 PM,Snacks & Beverages,Abandoned,179,162,5,Low,No
SID100061,Dadar,12–3 PM,Snacks & Beverages,Abandoned,204,273,9,Medium,No
SID100062,Thane,9 AM–12,Snacks & Beverages,Completed,328,94,11,Low,No
SID100063,Andheri,6–9 AM,Personal Care,Completed,196,140,6,Low,No
SID100064,Thane,10 PM–2 AM,Personal Care,Completed,420,86,5,Low,No
SID100065,Dadar,9 AM–12,Fresh Produce,Abandoned,178,264,9,Medium,No
SID100066,Andheri,9 AM–12,Snacks & Beverages,Completed,373,154,11,Low,No
SID100067,Bandra,12–3 PM,Frozen Foods,Abandoned,193,197,10,Medium,No
SID100068,Andheri,6–10 PM,Personal Care,Completed,344,189,9,Low,No
SID100069,Thane,6–10 PM,Frozen Foods,Completed,487,175,8,Low,No
SID100070,Bandra,9 AM–12,Fresh Produce,Abandoned,71,240,5,Medium,No
SID100071,Thane,6–10 PM,Snacks & Beverages,Completed,206,122,15,Low,No
SID100072,Dadar,10 PM–2 AM,Snacks & Beverages,Completed,289,107,11,Medium,Yes
SID100073,Bandra,10 PM–2 AM,Frozen Foods,Completed,302,71,13,Medium,No
SID100074,Bandra,12–3 PM,Snacks & Beverages,Completed,336,119,14,Medium,Yes
SID100075,Dadar,10 PM–2 AM,Snacks & Beverages,Abandoned,115,208,10,Medium,No
SID100076,Dadar,6–10 PM,Snacks & Beverages,Abandoned,272,241,8,Medium,No
SID100077,Thane,3–6 PM,Staples & Grains,Completed,406,99,10,Low,No
SID100078,Powai,6–10 PM,Frozen Foods,Completed,290,74,14,Low,No
SID100079,Andheri,9 AM–12,Snacks & Beverages,Completed,396,140,6,Low,Yes
SID100080,Bandra,3–6 PM,Frozen Foods,Completed,138,117,9,Medium,No
SID100081,Thane,10 PM–2 AM,Personal Care,Completed,175,156,10,Low,No
